Title,Skill,num,Ordinal
.NET Application Developer,.NET,549.0,0.0
.NET Application Developer,SQL,422.0,1.0
.NET Application Developer,C#,393.0,2.0
.NET Application Developer,Software,331.0,3.0
.NET Application Developer,ASP.NET,278.0,4.0
.NET Application Developer,IT,266.0,5.0
.NET Application Developer,Testing,236.0,6.0
.NET Application Developer,JavaScript,234.0,7.0
.NET Application Developer,Communications,227.0,8.0
.NET Application Developer,Management,214.0,9.0
.NET Application Developer,jQuery,190.0,10.0
.NET Application Developer,Computer Science,187.0,11.0
.NET Application Developer,SQL Server,187.0,12.0
.NET Application Developer,Programming,185.0,13.0
.NET Application Developer,Database,171.0,14.0
.NET Application Developer,MVC,169.0,15.0
.NET Application Developer,HTML,164.0,16.0
.NET Application Developer,CSS,155.0,17.0
.NET Application Developer,Framework,150.0,18.0
.NET Application Developer,Implementation,150.0,19.0
.NET Architect,.NET,310.0,0.0
.NET Architect,Software,201.0,1.0
.NET Architect,SQL,199.0,2.0
.NET Architect,Architecture,189.0,3.0
.NET Architect,C#,173.0,4.0
.NET Architect,IT,151.0,5.0
.NET Architect,Communications,139.0,6.0
.NET Architect,MVC,138.0,7.0
.NET Architect,ASP.NET,132.0,8.0
.NET Architect,Management,131.0,9.0
.NET Architect,SQL Server,108.0,10.0
.NET Architect,Agile,107.0,11.0
.NET Architect,JavaScript,107.0,12.0
.NET Architect,Integration,98.0,13.0
.NET Architect,Testing,97.0,14.0
.NET Architect,Leadership,94.0,15.0
.NET Architect,Framework,93.0,16.0
.NET Architect,WCF,93.0,17.0
.NET Architect,Implementation,92.0,18.0
.NET Architect,Programming,80.0,19.0
.NET Developer,.NET,9582.0,0.0
.NET Developer,C#,7170.0,1.0
.NET Developer,SQL,7052.0,2.0
.NET Developer,Software,5573.0,3.0
.NET Developer,ASP.NET,4842.0,4.0
.NET Developer,JavaScript,4618.0,5.0
.NET Developer,MVC,4154.0,6.0
.NET Developer,IT,3931.0,7.0
.NET Developer,SQL Server,3366.0,8.0
.NET Developer,Framework,3322.0,9.0
.NET Developer,Management,3301.0,10.0
.NET Developer,Testing,3279.0,11.0
.NET Developer,Communications,3196.0,12.0
.NET Developer,Programming,3058.0,13.0
.NET Developer,jQuery,2889.0,14.0
.NET Developer,HTML,2857.0,15.0
.NET Developer,Agile,2733.0,16.0
.NET Developer,Database,2701.0,17.0
.NET Developer,CSS,2567.0,18.0
.NET Developer,Integration,2353.0,19.0
.NET Software Developer,Software,791.0,0.0
.NET Software Developer,.NET,768.0,1.0
.NET Software Developer,SQL,600.0,2.0
.NET Software Developer,C#,570.0,3.0
.NET Software Developer,ASP.NET,406.0,4.0
.NET Software Developer,IT,362.0,5.0
.NET Software Developer,JavaScript,360.0,6.0
.NET Software Developer,MVC,356.0,7.0
.NET Software Developer,Management,333.0,8.0
.NET Software Developer,Programming,308.0,9.0
.NET Software Developer,Communications,296.0,10.0
.NET Software Developer,SQL Server,292.0,11.0
.NET Software Developer,Testing,273.0,12.0
.NET Software Developer,Database,263.0,13.0
.NET Software Developer,Integration,259.0,14.0
.NET Software Developer,Computer Science,241.0,15.0
.NET Software Developer,Framework,240.0,16.0
.NET Software Developer,Agile,238.0,17.0
.NET Software Developer,HTML,214.0,18.0
